"","V1","V2","V3","V4"
"134","0.35","67","mse","60.5654520403216"
"135","0.35","68","edf","55.6229885736968"
"136","0.35","68","mse","48.2759529523569"
"137","0.35","69","edf","60.0749715003505"
"138","0.35","69","mse","75.4987371734766"
"139","0.35","70","edf","57.855402458965"
"140","0.35","70","mse","56.9091998732943"
"141","0.35","71","edf","53.8461213278295"
"142","0.35","71","mse","77.0658727014034"
"143","0.35","72","edf","70.9546521554554"
"144","0.35","72","mse","66.370728372504"
"145","0.35","73","edf","46.1779950404796"
"146","0.35","73","mse","68.1659949548535"
"147","0.35","74","edf","54.7968095348816"
"148","0.35","74","mse","66.6767925229735"
"149","0.35","75","edf","45.796105961195"
"150","0.35","75","mse","62.8531511722417"
"151","0.35","76","edf","51.6624181533271"
"152","0.35","76","mse","70.6497825001352"
"153","0.35","77","edf","53.0599523359341"
"154","0.35","77","mse","59.7955273135875"
"155","0.35","78","edf","58.1990611297047"
"156","0.35","78","mse","67.2528019738818"
"157","0.35","79","edf","64.2441586821306"
"158","0.35","79","mse","72.4363509941714"
"159","0.35","80","edf","47.6849909358654"
"160","0.35","80","mse","60.0719206928997"
"161","0.35","81","edf","45.6915305473111"
"162","0.35","81","mse","66.3870733098898"
"163","0.35","82","edf","68.8977394408603"
"164","0.35","82","mse","69.530565403447"
"165","0.35","83","edf","69.1058939574278"
"166","0.35","83","mse","57.0199577006977"
"167","0.35","84","edf","45.1659292809497"
"168","0.35","84","mse","67.9237598893873"
"169","0.35","85","edf","49.0795685460481"
"170","0.35","85","mse","62.513314389993"
"171","0.35","86","edf","49.3746692753472"
"172","0.35","86","mse","61.656183292199"
"173","0.35","87","edf","49.8353298692581"
"174","0.35","87","mse","66.4179128381617"
"175","0.35","88","edf","48.779510280189"
"176","0.35","88","mse","63.7597309429326"
"177","0.35","89","edf","55.3279516650525"
"178","0.35","89","mse","106.511525163259"
"179","0.35","90","edf","47.0052660270195"
"180","0.35","90","mse","53.9250762289035"
"181","0.35","91","edf","45.6089803362784"
"182","0.35","91","mse","52.8985456945763"
"183","0.35","92","edf","56.1949937657807"
"184","0.35","92","mse","63.3875416627615"
"185","0.35","93","edf","42.1778677677664"
"186","0.35","93","mse","76.1315737846211"
"187","0.35","94","edf","51.9749783965362"
"188","0.35","94","mse","48.5107027351424"
"189","0.35","95","edf","53.5615727352322"
"190","0.35","95","mse","63.5417571321696"
"191","0.35","96","edf","53.1926296528207"
"192","0.35","96","mse","52.4910046985505"
"193","0.35","97","edf","56.3476770293498"
"194","0.35","97","mse","57.5540979088178"
"195","0.35","98","edf","51.3503282604424"
"196","0.35","98","mse","62.5231944581694"
"197","0.35","99","edf","45.8184538698637"
"198","0.35","99","mse","60.5400570436219"
"199","0.35","100","edf","45.6743856151641"
"200","0.35","100","mse","61.4052134313064"
"201","0.35","101","edf","56.5996715645921"
"202","0.35","101","mse","62.5757849464779"
"203","0.35","102","edf","43.9964265402958"
"204","0.35","102","mse","74.3269723605527"
"205","0.35","103","edf","61.9126337588793"
"206","0.35","103","mse","74.2690820147164"
"207","0.35","104","edf","54.7340025142828"
"208","0.35","104","mse","114.138892084985"
"209","0.35","105","edf","58.1911533680723"
"210","0.35","105","mse","53.1495852184707"
"211","0.35","106","edf","57.7126353029124"
"212","0.35","106","mse","56.9730442843691"
"213","0.35","107","edf","57.6991391175213"
"214","0.35","107","mse","51.7332787271793"
"215","0.35","108","edf","56.8430673533275"
"216","0.35","108","mse","59.7822309614903"
"217","0.35","109","edf","45.8723331788595"
"218","0.35","109","mse","62.3237990498585"
"219","0.35","110","edf","54.1080947635359"
"220","0.35","110","mse","47.9325230995708"
"221","0.35","111","edf","56.8955775926136"
"222","0.35","111","mse","56.1308289718491"
"223","0.35","112","edf","46.1534500744681"
"224","0.35","112","mse","63.7537180963033"
"225","0.35","113","edf","57.805161828266"
"226","0.35","113","mse","66.3597769694875"
"227","0.35","114","edf","62.2179548132038"
"228","0.35","114","mse","61.428818159593"
"229","0.35","115","edf","46.098682840902"
"230","0.35","115","mse","68.8190787624022"
"231","0.35","116","edf","50.4856937775272"
"232","0.35","116","mse","69.2906409410463"
"233","0.35","117","edf","49.5592422206898"
"234","0.35","117","mse","47.0146391401384"
"235","0.35","118","edf","51.8245836751651"
"236","0.35","118","mse","76.2279565864074"
"237","0.35","119","edf","58.7508501958035"
"238","0.35","119","mse","71.1669645231804"
"239","0.35","120","edf","70.6651066234452"
"240","0.35","120","mse","62.5717048130834"
"241","0.35","121","edf","64.2813439961543"
"242","0.35","121","mse","71.7449262373033"
"243","0.35","122","edf","55.9027000436227"
"244","0.35","122","mse","54.205844910798"
"245","0.35","123","edf","51.8219322495431"
"246","0.35","123","mse","56.1867950385668"
"247","0.35","124","edf","50.2555615454178"
"248","0.35","124","mse","76.1467825216606"
"249","0.35","125","edf","62.3014625669513"
"250","0.35","125","mse","75.5350759355998"
"251","0.35","126","edf","66.1348024640687"
"252","0.35","126","mse","91.9828037867741"
"253","0.35","127","edf","52.1455814678207"
"254","0.35","127","mse","59.8382365604218"
"255","0.35","128","edf","56.2456669462405"
"256","0.35","128","mse","70.8898438870606"
"257","0.35","129","edf","46.0667489653312"
"258","0.35","129","mse","64.9379764443962"
"259","0.35","130","edf","46.3797900975074"
"260","0.35","130","mse","65.9315296816553"
"261","0.35","131","edf","55.068941306866"
"262","0.35","131","mse","62.6769006545687"
"263","0.35","132","edf","59.730194796858"
"264","0.35","132","mse","66.545603901182"
"265","0.35","133","edf","53.5620460172008"
"266","0.35","133","mse","62.2705886609131"
"267","0.35","134","edf","56.79251815176"
"268","0.35","134","mse","61.2496789640436"
"269","0.35","135","edf","51.3824650148866"
"270","0.35","135","mse","63.6322784719206"
"271","0.35","136","edf","61.5202746810047"
"272","0.35","136","mse","54.9919583707748"
"273","0.35","137","edf","69.8744939350178"
"274","0.35","137","mse","56.4774710714858"
"275","0.35","138","edf","57.236253781239"
"276","0.35","138","mse","127.837774570269"
"277","0.35","139","edf","53.1403603581685"
"278","0.35","139","mse","56.419624580892"
"279","0.35","140","edf","76.9178836515482"
"280","0.35","140","mse","82.1398305938393"
"281","0.35","141","edf","48.6540348848144"
"282","0.35","141","mse","71.167777528701"
"283","0.35","142","edf","54.1625341252163"
"284","0.35","142","mse","67.4574345868056"
"285","0.35","143","edf","49.3965375214124"
"286","0.35","143","mse","60.5632610360736"
"287","0.35","144","edf","60.8872925475847"
"288","0.35","144","mse","62.7467521752575"
"289","0.35","145","edf","49.4345735129106"
"290","0.35","145","mse","61.0364708973885"
"291","0.35","146","edf","49.2707273919205"
"292","0.35","146","mse","59.3471381013746"
"293","0.35","147","edf","48.4816764214735"
"294","0.35","147","mse","71.9832871320102"
"295","0.35","148","edf","55.4432656719418"
"296","0.35","148","mse","61.8483626430322"
"297","0.35","149","edf","52.0436118642855"
"298","0.35","149","mse","51.7878903955432"
"299","0.35","150","edf","50.0934858672603"
"300","0.35","150","mse","57.269902289703"
"301","0.35","151","edf","56.3492405156046"
