"","tprs","mds+tp","mds+cr","mds+tp 3D","mds+tp+adj","soap"
"1",0.170513823869168,0.164031897897448,0.174560934709489,0.138491082474567,0.162711807870936,0.118783682246263
"2",0.172165097552444,0.195469789193708,0.155327860131093,0.160178344161081,0.177376358344418,0.120125286284062
"3",0.161524857892917,0.143735418623643,0.107255028189590,0.0997030275806188,0.179729474542362,0.0840808491240305
"4",0.175044401863313,0.171497857784469,0.162894133676876,0.137594054848451,0.164615349301322,0.171904170340772
"5",0.243786630954645,0.176437840864299,0.166633578826858,0.136012064996473,0.197251067496306,0.161789378542264
"6",0.196296119293145,0.155611367435969,0.148685417846863,0.125773032475901,0.151524777782469,0.132966331377847
"7",0.209191140334492,0.202958284634032,0.156318768275434,0.165932612117998,0.206357169896418,0.143914038961768
"8",0.316140257400986,0.196437503785696,0.171768427230272,0.151450173686347,0.190045210555347,0.169176509027544
"9",0.248256464644097,0.200398653760889,0.199595085528586,0.174194195400331,0.172391654424481,0.129365967183049
"10",0.212366208819645,0.196629203701044,0.166078780835965,0.153773930604065,0.185759469869168,0.145769448926347
"11",0.205375932442334,0.181370444299314,0.157510985741144,0.152634445314217,0.166809544914971,0.130288010524445
"12",0.155714730523114,0.161548562788215,0.141632547312587,0.125579577013391,0.181995845637011,0.113035884106137
"13",0.221325335733497,0.220628432577130,0.184519891657027,0.176765040184636,0.255014210340903,0.143590633449833
"14",0.179506749143921,0.148256798463511,0.162209723543584,0.138235345999197,0.145392002350207,0.124624678763763
"15",0.161568693931351,0.184483305433281,0.162036189417147,0.148519373965041,0.164227127193799,0.115240468519353
"16",0.177683506182428,0.163889795474572,0.159722218281023,0.125674020678491,0.171789719250817,0.115969467000535
"17",0.195436838790550,0.185103536462230,0.156608897285340,0.149012631695774,0.154401790350480,0.123368241950133
"18",0.207550811666133,0.152783996408602,0.157069423121333,0.160637694117609,0.161095516971531,0.159277863078096
"19",0.211760716411236,0.170599305045118,0.179562025635217,0.132897581397836,0.153509626818641,0.113272394879373
"20",0.153648035319417,0.168916984708904,0.159427750368531,0.149864607003783,0.173201284760422,0.115470233820361
"21",0.155584409758302,0.172802504357380,0.125491635387829,0.126696098647234,0.197855593025138,0.09997333017495
"22",0.192695434638613,0.191124859202896,0.174670029051085,0.167506576818891,0.176479880410435,0.119785929329024
"23",0.214152866919898,0.157706303734901,0.133569794240268,0.127420741533788,0.182374484809607,0.114917638786150
"24",0.136648600955137,0.137457678255035,0.128293668881704,0.128658473718235,0.145233813738947,0.129132709543366
"25",0.255975769216253,0.201536037334303,0.208453168377146,0.201309343461071,0.214243966019195,0.182485667925787
"26",0.178141693987421,0.179242749344031,0.131225800088557,0.126411285225681,0.149415317574766,0.101499330725340
"27",0.15160824077595,0.143038304046680,0.133020715285264,0.119519299986913,0.149693271798627,0.0900686415728635
"28",0.173325500643330,0.153072777087912,0.13977004844674,0.136220562016117,0.146440549016574,0.101697040452750
"29",0.189314334168116,0.152571723630127,0.168547063132385,0.130047992095991,0.189736106319687,0.09893057331963
